"","Feature","Gain","Cover","Frequence","RealCover","RealCover %"
"150","var15",0.249174199617255,0.175604591732316,0.0794078061911171,127552,42.4042553191489
"142","saldo_var30",0.168772378330432,0.121877570918999,0.044414535666218,373123,124.043550531915
"154","var38",0.0765823589230602,0.0784980896886769,0.103484372663377,305237,101.475066489362
"126","saldo_medio_var5_hace3",0.0327968266662822,0.034373486114438,0.0414236578435771,291952,97.0585106382979
"125","saldo_medio_var5_hace2",0.0283821830857581,0.0267221093033873,0.041049798115747,344942,114.674867021277
"128","saldo_medio_var5_ult3",0.0273430336000811,0.0236919173393615,0.0381336922386721,315218,104.793218085106
"127","saldo_medio_var5_ult1",0.020029558239718,0.0151646577568658,0.0275160759682967,258822,86.0445478723404
"93","num_var22_ult3",0.0164692932438977,0.0216613069704799,0.0281142515328249,42132,14.0066489361702
"111","num_var45_hace3",0.0162822420992189,0.0181638051532735,0.0307312696276357,60937,20.2583111702128
"147","saldo_var42",0.0135855135753846,0.0146158489443654,0.0155525646777329,166808,55.4547872340426
"92","num_var22_ult1",0.013364077215404,0.0244724589050723,0.0192163900104681,8911,2.9624335106383
"148","saldo_var5",0.0122592244825844,0.0164989695397549,0.0241513384178256,221067,73.4930186170213
"17","imp_op_var41_efect_ult3",0.0117213107094472,0.0146854365654745,0.0154777927321669,24492,8.14228723404255
"113","num_var45_ult3",0.0111443209361597,0.00618798553725938,0.0219081800508449,101210,33.6469414893617
"105","num_var4",0.0105237304709277,0.0052346670021983,0.00351428144160311,10984,3.65159574468085
"16","imp_op_var41_efect_ult1",0.0102617375789043,0.0221047325431522,0.0149543891132047,16738,5.56449468085106
"145","saldo_var37",0.00962688345603147,0.0152105349116133,0.0164498280245252,20079,6.67519946808511
"110","num_var45_hace2",0.00950439365179824,0.00603938353668062,0.0199641094661283,41044,13.6449468085106
"91","num_var22_hace3",0.00938584510593307,0.0169692688301603,0.0209361447584866,15081,5.01363031914894
"35","ind_var30",0.00911486794824281,0.00781043790749865,0.000747719455660236,1189,0.395279255319149
"20","imp_trans_var37_ult1",0.00882814272857455,0.00955383737447098,0.0169732316434874,23964,7.96675531914894
"5","imp_ent_var16_ult1",0.00862455587128218,0.0129518224697477,0.0149543891132047,12786,4.25066489361702
"18","imp_op_var41_ult1",0.00832083910609596,0.013476461660408,0.0135337221474503,29367,9.76296542553191
"149","saldo_var8",0.00829604393865805,0.0282570712416079,0.00859877374009272,9169,3.04820478723404
"59","num_meses_var39_vig_ult3",0.00762476274456509,0.0105845713266375,0.0133841782563182,13959,4.640625
"112","num_var45_ult1",0.00758855959058259,0.00338455756452357,0.0165993719156572,41792,13.8936170212766
"55","num_med_var45_ult3",0.00669172589397307,0.00425991831883193,0.0139075818752804,27989,9.30485372340426
"90","num_var22_hace2",0.00648547324587474,0.00689042074062874,0.01278600269179,17017,5.65724734042553
"7","imp_op_var39_comer_ult3",0.0064003151436918,0.00713464468055967,0.0139075818752804,33927,11.2789228723404
"10","imp_op_var39_ult1",0.00620374467826127,0.0101231636822632,0.00919694930462091,21485,7.14261968085106
"15","imp_op_var41_comer_ult3",0.00607240663758343,0.00740637808442193,0.0121878271272619,29451,9.79089095744681
"152","var3",0.00600587103711746,0.0180798539210629,0.00912217735905488,71315,23.7084441489362
"6","imp_op_var39_comer_ult1",0.00540997838682341,0.00554170839252478,0.0109914759982055,25198,8.37699468085106
"107","num_var42_0",0.00473866043545222,0.00711677970045742,0.00441154478839539,19511,6.48636968085106
"98","num_var30_0",0.00459000256914849,0.00535166790693255,0.00358905338716913,13911,4.62466755319149
"21","imp_var43_emit_ult1",0.0044963687346487,0.00786171755890216,0.00882308957679079,8101,2.69315159574468
